
Score: 0			 Date: 2014-04-12 20:26:57.997000
Score: 0			 Date: 2014-04-12 20:27:33.894152
Score: 0			 Date: 2014-04-12 20:29:23.932100
Score: 0			 Date: 2014-04-12 20:30:42.642487
Score: 0			 Date: 2014-04-12 20:43:10.437660
Score: 0			 Date: 2014-04-12 20:43:49.008869
Score: 0			 Date: 2014-04-12 21:04:25.010067
Score: 0			 Date: 2014-04-12 21:04:57.885723
Score: 0			 Date: 2014-04-12 21:05:35.362859
Score: 6340			 Date: 2014-04-13 03:20:22.336252
Score: 3440			 Date: 2014-04-13 09:37:17.161758
